,id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_end,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
329,h7ENzK5Vp6f1j6iU-U3g4w,REGULAR,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True,900.0,100.0,True,900.0,100.0,True
332,Q1TofnFQ4sMFA47sGYAyeg,REGULAR,,,,,,,1500.0,2200.0,False,1500.0,2200.0,False,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,2200.0,False
333,ph3SOdb_khwezTiKtwh04w,REGULAR,,,,,,,,,,,,,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True
335,DoxJ_ELGpQHDtuCNXEWtCw,REGULAR,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1100.0,200.0,True,1100.0,0.0,False
337,2dLtQKsWeA2NsgmUbHG1zw,REGULAR,,,,,,,,,,1800.0,200.0,True,1800.0,200.0,True,1800.0,200.0,True,,,
342,xMnAsMSgTtMy7DT-En7qOQ,REGULAR,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False
343,bFuUggRPBrXbSQqUbpUgUw,REGULAR,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,,,,,,
344,-bC1fMN5kQgFruzUR8E_RA,REGULAR,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,100.0,True
346,T3afYS4ZJ5dTf-2YtkPEFw,REGULAR,630.0,2300.0,False,630.0,2300.0,False,630.0,2300.0,False,630.0,2300.0,False,630.0,0.0,False,700.0,0.0,False,700.0,2300.0,False
349,l5r5mdi099B9zwyVL-5-Lg,REGULAR,800.0,200.0,True,800.0,200.0,True,800.0,200.0,True,800.0,200.0,True,800.0,200.0,True,800.0,200.0,True,800.0,200.0,True
350,SCXfxp-mF-S2YoLqfYMSEA,REGULAR,,,,1500.0,2045.0,False,1500.0,2045.0,False,1500.0,2045.0,False,1130.0,1645.0,False,1130.0,1645.0,False,1300.0,1645.0,False
351,ZFCJr_QRGPVKerWCkvR7SA,REGULAR,1130.0,30.0,True,1130.0,30.0,True,1130.0,30.0,True,1130.0,30.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,30.0,True
352,g_1zgYJqkm3w9FeKaOYgcA,REGULAR,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False
355,goj3-MeDiCS2soysk6AaSQ,REGULAR,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True
356,X05LWeDT93dhQkDyCG8IeA,REGULAR,,,,,,,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1200.0,2100.0,False
358,5KHaTbBgPPvnfK8VNoMEgw,REGULAR,1700.0,2230.0,False,1700.0,2230.0,False,1700.0,2230.0,False,1700.0,2230.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2230.0,False
359,3IRA159ZbwTAEL3WqcZZiA,REGULAR,,,,,,,1600.0,0.0,False,1600.0,0.0,False,1200.0,0.0,False,1200.0,0.0,False,,,
